address,apt,case,primary_offense,offense_code,offense,date_rept,date_occu,hour_occu,date_fnd,hour_fnd,fid,lat,lon
5700 PONCE DE LEON BLVD,BLK,08003119,1,THC,THEFT FROM MOTOR VEHICLE,2008-04-09,2008-04-09,1830,2008-04-09,1830,,25.7122517,-80.2804582
5665 PONCE DE LEON BLVD,BLK,08003121,1,THC,THEFT FROM MOTOR VEHICLE,2008-04-09,2008-04-09,1830,2008-04-09,1830,,25.7127401,-80.2809083
5700 PONCE DE LEON BLVD,,08003120,1,ZOD,INCIDENT REPORT,2008-04-09,2008-04-09,2130,2008-04-09,2130,,25.7122517,-80.2804582
5700 PONCE DE LEON BLVD,,08003123,1,PRA,PROPERTY FOUND IMPOUNDED,2008-04-10,2008-04-10,0025,2008-04-10,0.017,,25.7122517,-80.2804582
6201 SAN AMARO DR,,08003126,1,VAB,VANDALISM TO VEHICLE,2008-04-10,2008-04-09,2200,2008-04-10,2200,,25.7133381,-80.2831612
1300 CAMPO SANO AV,,08003147,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-04-10,2008-04-10,1435,2008-04-10,1435,,25.7241863,-80.2785796
5800 PONCE DE LEON BLVD,472,08003177,1,ZOI,SUICIDE ATTEMPT THREATS,2008-04-11,2008-04-11,1116,2008-04-11,1116,,25.7084219,-80.28527120000001
1211 THEO DICKINSON DR,,08003202,1,FRG,FRAUD POSSESSION OF COUNTERFEIT,2008-04-12,2008-04-12,0610,2008-04-12,0610,,25.716037,-80.27868200000002
1239 THEO DICKINSON DR,,08003202,1,ZOM,INTOXICATED PERSON,2008-04-12,2008-04-12,0610,2008-04-12,0610,,25.715591,-80.2816
1239 THEO DICKINSON DR,,08003228,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-13,2008-04-13,1805,2008-04-13,1805,,25.715591,-80.2816
5400 PONCE DE LEON BLVD,,08003254,1,FDD,FD SICK INJURED PERSON,2008-04-14,2008-04-14,1420,2008-04-14,1419,,25.7137747,-80.27868440000002
1365 MEMORIAL DR,,08003262,1,THC,THEFT FROM MOTOR VEHICLE,2008-04-14,2008-03-20,2100,2008-03-21,2100,,25.7214386,-80.2799399
1231 THEO DICKINSON DR,,08003267,1,SCA,SIMPLE BATTERY,2008-04-14,2008-04-14,2050,2008-04-14,2050,,25.7169005,-80.280238
5665 PONCE DE LEON BLVD,,08003291,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-15,2008-04-15,1000,2008-04-15,1000,,25.7127401,-80.2809083
5801 SAN AMARO DR,,08003302,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-15,2008-04-15,1210,2008-04-15,1210,,25.7167012,-80.2830467
5665 PONCE DE LEON BLVD,,08003327,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-16,2008-04-16,1350,2008-04-16,1350,,25.7127401,-80.2809083
5700 PONCE DE LEON BLVD,,08003318,1,THK,THEFT OTHER,2008-04-16,2008-04-15,1800,2008-04-16,1800,,25.7122517,-80.2804582
1101 STANFORD DR,,08003339,1,THK,THEFT OTHER,2008-04-16,2008-04-16,0900,2008-04-16,0900,,25.7183323,-80.27499759999999
1223 THEO DICKINSON DR,,08003355,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-17,2008-04-17,0955,2008-04-17,0955,,25.7170977,-80.2793768
1300 CAMPO SANO AV,,08003356,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-17,2008-04-17,1020,2008-04-17,1020,,25.7241863,-80.2785796
1231 THEO DICKINSON DR,MT 308,08003342,2,THK,THEFT OTHER,2008-04-17,2008-04-16,2230,2008-04-17,2230,,25.7169005,-80.280238
1231 THEO DICKINSON DR,,08003348,1,VAC,VANDALISM TO PERSONAL PROPERTY,2008-04-17,2008-04-17,0420,2008-04-17,0420,,25.7169005,-80.280238
1300 CAMPO SANO AV,,08003379,1,FDD,FD SICK INJURED PERSON,2008-04-17,2008-04-17,1520,2008-04-17,1520,,25.7241863,-80.2785796
5250 UNIVERSITY DR,RM 21X,08003383,1,ZOJ,BAKER MARCHMAN ACT,2008-04-17,2008-04-17,1700,2008-04-17,1700,,25.720281,-80.27595199999999
5600 GEORGE E MERRICK ST,BLK,08003393,1,SXE,SEXUAL INDECENT EXPOSURE,2008-04-17,2008-04-17,1830,2008-04-17,1830,,25.7183404,-80.27676699999999
1200 CAMPO SANO AV,,08003398,1,ALA,ALCOHOL JUVENILE VIOLATION,2008-04-18,2008-04-17,2335,2008-04-17,2335,,25.7250238,-80.2740775
1231 THEO DICKINSON DR,,08003398,2,PRA,PROPERTY FOUND IMPOUNDED,2008-04-18,2008-04-17,2335,2008-04-17,2335,,25.7169005,-80.280238
1231 THEO DICKINSON DR,,08003398,1,VEC,VEHICLE TRAFFIC OFFENSE NON DUI,2008-04-18,2008-04-17,2335,2008-04-17,2335,,25.7169005,-80.280238
1231 THEO DICKINSON DR,BLK,08003403,1,THB,THEFT OF AUTO PART ACCESSORY,2008-04-18,2008-04-17,1800,2008-04-17,1800,,25.7169005,-80.280238
1251 S ALHAMBRA CIR,,08003415,1,SCE,SIMPLE HARASSMENT,2008-04-18,2008-04-18,1335,2008-04-18,1334,,25.709127,-80.279843
5400 PONCE DE LEON BLVD,2,08003412,1,FRL,FRAUD OTHER JURISDICTION,2008-04-18,2008-04-08,0000,2008-04-18,0000,,25.7137747,-80.27868440000002
1231 THEO DICKINSON DR,,08003434,1,VAA,VANDALISM TO STRUCTURE,2008-04-18,2008-04-18,1600,2008-04-18,1600,,25.7169005,-80.280238
5185 PONCE DE LEON BLVD,,08003437,1,SCA,SIMPLE BATTERY,2008-04-18,2008-04-18,2325,2008-04-18,2325,,25.7179231,-80.2737624
1231 THEO DICKINSON DR,42B 3,08003463,1,BUA,BURGLARY RESIDENTIAL,2008-04-19,2008-04-18,2030,2008-04-19,2030,,25.7169005,-80.280238
5638 GEORGE E MERRICK ST,23D,08003471,2,THK,THEFT OTHER,2008-04-20,2008-04-18,1230,2008-04-20,1230,,25.7162931,-80.276198
5638 GEORGE E MERRICK ST,BLK,08003473,1,ZOA,TRESPASS WARNING,2008-04-20,2008-04-19,2345,2008-04-19,2345,,25.7162931,-80.276198
1500 CORNICHE AV,,08003479,1,FDD,FD SICK INJURED PERSON,2008-04-20,2008-04-20,0945,2008-04-20,0945,,25.714693,-80.28322659999999
5400 PONCE DE LEON BLVD,MT316,08003495,1,BUA,BURGLARY RESIDENTIAL,2008-04-20,2008-04-17,2200,2008-04-18,2200,,25.7137747,-80.27868440000002
1231 THEO DICKINSON DR,MT316,08003495,2,THK,THEFT OTHER,2008-04-20,2008-04-17,2200,2008-04-18,2200,,25.7169005,-80.280238
5400 PONCE DE LEON BLVD,,08003486,1,VEG,VEHICLE VESSEL STOLEN RECOVERY,2008-04-20,2008-04-20,1450,2008-04-20,1450,,25.7137747,-80.27868440000002
1231 THEO DICKINSON DR,WT 920,08003501,1,PRA,PROPERTY FOUND IMPOUNDED,2008-04-20,2008-04-20,2215,2008-04-20,2215,,25.7169005,-80.280238
1239 THEO DICKINSON DR,42A,08003502,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-04-20,2008-04-18,1900,2008-04-19,1900,,25.715591,-80.2816
1306 MILLER DR,,08003522,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-21,2008-04-21,1131,2008-04-21,1131,,25.7202348,-80.2789092
1365 MEMORIAL DR,,08003532,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-21,2008-04-21,1425,2008-04-21,1425,,25.7214386,-80.2799399
1311 MILLER DR,43E,08003484,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-04-21,2008-04-19,0600,2008-04-19,0600,,25.720387,-80.279546
5100 BRUNSON DR,36E,08003525,1,FDD,FD SICK INJURED PERSON,2008-04-21,2008-04-21,1340,2008-04-21,1340,,25.7224132,-80.27591269999999
1365 MEMORIAL DR,,08003543,1,FDD,FD SICK INJURED PERSON,2008-04-21,2008-04-21,1953,2008-04-21,1953,,25.7214386,-80.2799399
1101 STANFORD DR,,08003556,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-22,2008-04-22,0930,2008-04-22,0930,,25.7183323,-80.27499759999999
1211 THEO DICKINSON DR,,08003557,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-22,2008-04-22,0925,2008-04-22,0925,,25.716037,-80.27868200000002
1211 THEO DICKINSON DR,,08003560,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-22,2008-04-22,1025,2008-04-22,1025,,25.716037,-80.27868200000002
5565 PAVIA ST,,08003570,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-22,2008-04-22,1345,2008-04-22,1345,,25.7181647,-80.2760863
1320 CAMPO SANO AV,,08003594,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-23,2008-04-23,0928,2008-04-23,0928,,25.7243451,-80.2763148
5500 SAN AMARO DR,,08003643,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-24,2008-04-24,1305,2008-04-24,1305,,25.7202428,-80.2810222
1231 THEO DICKINSON DR,,08003648,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-24,2008-04-24,1325,2008-04-24,1325,,25.7169005,-80.280238
1239 THEO DICKINSON DR,,08003638,1,SXE,SEXUAL INDECENT EXPOSURE,2008-04-24,2008-04-24,0030,2008-04-24,0.020,,25.715591,-80.2816
1211 THEO DICKINSON DR,RT619,08003624,1,ZOK,SPECIAL INVESTIGATION,2008-04-24,2008-04-23,2100,2008-04-23,2100,,25.716037,-80.27868200000002
1330 MILLER DRIVE,,08003674,1,FDC,FD OTHER FIRE,2008-04-25,2008-04-25,0042,2008-04-25,0.029,,25.72019,-80.27930889999999
1239 THEO DICKINSON DR,,08003677,1,FRL,FRAUD OTHER JURISDICTION,2008-04-25,2008-04-02,0001,2008-04-04,0.000,,25.715591,-80.2816
5665 PONCE DE LEON BLVD,MT 321,08003697,1,BUA,BURGLARY RESIDENTIAL,2008-04-25,2008-04-24,2000,2008-04-25,2000,,25.7127401,-80.2809083
1231 THEO DICKINSON DR,MT 321,08003697,2,THK,THEFT OTHER,2008-04-25,2008-04-24,2000,2008-04-25,2000,,25.7169005,-80.280238
1231 THEO DICKINSON DR,,08003737,1,ZOE,SUSPICIOUS INCIDENT,2008-04-27,2008-04-27,0000,2008-04-27,0000,,25.7169005,-80.280238
5185 PONCE DE LEON BLVD,,08003740,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-04-27,2008-04-27,1400,2008-04-27,1400,,25.7179231,-80.2737624
1210 STANFORD DR,,08003745,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-04-27,2008-04-27,1900,2008-04-27,1900,,25.7182056,-80.27484319999999
5100 PONCE DE LEON BLVD,,08003767,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-28,2008-04-28,1347,2008-04-28,1346,,25.7175806,-80.2739931
5250 UNIVERSITY DR,,08003793,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-29,2008-04-29,0930,2008-04-29,0930,,25.720281,-80.27595199999999
1365 MEMORIAL DRIVE,,08003795,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-29,2008-04-29,1127,2008-04-29,1127,,25.7214386,-80.2799399
6501 SAN AMARO DR,,08003800,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-04-29,2008-04-29,1237,2008-04-29,1237,,25.7112638,-80.28318089999999
5665 PONCE DE LEON BLVD,,08003823,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-04-29,2008-04-29,2145,2008-04-29,2145,,25.7127401,-80.2809083
1400 MILLER RD,,08003846,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-04-30,2008-04-30,1630,2008-04-30,1630,,25.7186448,-80.28320149999999
5250 UNIVERSITY DR,,08003863,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-05-01,2008-05-01,1035,2008-05-01,1035,,25.720281,-80.27595199999999
5225 LEVANTE,,08003867,1,ZOD,INCIDENT REPORT,2008-05-01,2008-04-21,1650,2008-04-21,1649,,25.7103943,-80.2842866
5665 PONCE DE LEON BLVD,,08003887,1,THB,THEFT OF AUTO PART ACCESSORY,2008-05-01,2008-04-30,2000,2008-05-01,2000,,25.7127401,-80.2809083
1211 THEO DICKINSON DR,,08003892,1,FDC,FD OTHER FIRE,2008-05-01,2008-05-01,2225,2008-05-01,2225,,25.716037,-80.27868200000002
1101 STANFORD DR,,08003893,1,ZOA,TRESPASS WARNING,2008-05-02,2008-05-02,0135,2008-05-02,0.065,,25.7183323,-80.27499759999999
1239 THEO DICKINSON DR,,08003927,1,ZZZ,VOID RECORDS USE ONLY,2008-05-03,2008-05-03,0755,2008-05-03,0754,,25.715591,-80.2816
1239 THEO DICKINSON DR,W712,08003924,1,FDD,FD SICK INJURED PERSON,2008-05-03,2008-05-03,0005,2008-05-03,0.003,,25.715591,-80.2816
5900 PONCE DE LEON BLVD,WT318,08003923,1,PRA,PROPERTY FOUND IMPOUNDED,2008-05-03,2008-05-02,1130,2008-05-02,1130,,25.7083447,-80.28537709999999
1101 STANFORD DR,,08003919,1,THK,THEFT OTHER,2008-05-03,2008-05-02,2155,2008-05-02,2155,,25.7183323,-80.27499759999999
5665 PONCE DE LEON BLVD,,08003928,1,THC,THEFT FROM MOTOR VEHICLE,2008-05-03,2008-05-02,2145,2008-05-03,2145,,25.7127401,-80.2809083
1101 STANFORD DR,,08003930,1,FRD,FRAUD BY CREDIT CARD ATM,2008-05-03,2008-05-02,1910,2008-05-02,1910,,25.7183323,-80.27499759999999
1101 STANFORD DR,,8003930,2,PRB,PROPERTY LOST,2008-05-03,2008-05-02,1910,2008-05-02,1910,,25.7183323,-80.27499759999999
5700 PONCE DE LEON BLVD,,08003945,1,ZOE,SUSPICIOUS INCIDENT,2008-05-03,2008-05-03,2050,2008-05-03,2050,,25.7122517,-80.2804582
1500 ALBENGA AV,,08003948,1,ZOD,INCIDENT REPORT,2008-05-04,2008-05-04,0400,2008-05-04,0400,,25.7139677,-80.2833294
6201 SAN AMARO DR,,08003981,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-05-05,2008-05-05,1405,2008-05-05,1405,,25.7133381,-80.2831612
1101 STANFORD DR,BLK,08003943,1,DRA,DRUG POSSESSION CONTROLLED SUBSTANCE,2008-05-05,2008-05-03,1923,2008-05-03,1923,,25.7183323,-80.27499759999999
5700 PONCE DE LEON BLVD,BLK,08003943,2,ZOB,WARRANT ARREST,2008-05-05,2008-05-03,1923,2008-05-03,1923,,25.7122517,-80.2804582
5501 SAN AMARO DR,,08003972,1,BUB,BURGLARY NON RESIDENTIAL,2008-05-05,2008-05-04,2330,2008-05-05,2330,,25.7187893,-80.2803368
6201 SAN AMARO DR,,08003972,2,THK,THEFT OTHER,2008-05-05,2008-05-04,2330,2008-05-05,2330,,25.7133381,-80.2831612
6201 SAN AMARO DR,,08003972,2,THM,THEFT FROM BURGLARY,2008-05-05,2008-05-04,2330,2008-05-05,2330,,25.7133381,-80.2831612
1306 MILLER DR,,08004008,1,TVE,THEFT OF BICYCLE,2008-05-06,2008-04-25,1000,2008-04-28,1000,,25.7202348,-80.2789092
1101 STANFORD DR,127,08004014,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-05-06,2008-05-06,0830,2008-05-06,0830,,25.7183323,-80.27499759999999
5616 GEORGE E MERRICK ST,22N,08004022,2,THM,THEFT FROM BURGLARY,2008-05-06,2008-05-06,0715,2008-05-06,0715,,25.7163614,-80.2762681
5500 SAN AMARO DR,,08004041,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-05-07,2008-05-07,1015,2008-05-07,1015,,25.7202428,-80.2810222
1306 MILLER DR,,08004044,1,TVE,THEFT OF BICYCLE,2008-05-07,2008-04-01,1000,2008-05-05,1000,,25.7202348,-80.2789092
5616 GEORGE E MERRICK ST,BLK,08004040,1,ZOA,TRESPASS WARNING,2008-05-07,2008-05-07,1000,2008-05-07,1000,,25.7163614,-80.2762681
1101 STANFORD DR,,08004051,1,PRB,PROPERTY LOST,2008-05-07,2008-04-21,1205,2008-04-21,1204,,25.7183323,-80.27499759999999
5665 PONCE DE LEON BLVD,,08004056,1,TVE,THEFT OF BICYCLE,2008-05-07,2008-04-25,1200,2008-05-07,1200,,25.7127401,-80.2809083
1101 STANFORD DR,550,08004076,1,BUA,BURGLARY RESIDENTIAL,2008-05-08,2008-05-08,0330,2008-05-08,0330,,25.7183323,-80.27499759999999
5185 PONCE DE LEON BLVD,550,08004076,2,FRD,FRAUD BY CREDIT CARD ATM,2008-05-08,2008-05-08,0330,2008-05-08,0330,,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,550,08004076,2,THM,THEFT FROM BURGLARY,2008-05-08,2008-05-08,0330,2008-05-08,0330,,25.7179231,-80.2737624
1239 THEO DICKINSON DR,M526,08004072,1,VAC,VANDALISM TO PERSONAL PROPERTY,2008-05-08,2008-04-27,2300,2008-05-08,2300,,25.715591,-80.2816
5185 PONCE DE LEON BLVD,265,08004080,2,THK,THEFT OTHER,2008-05-08,2008-05-08,0300,2008-05-08,0300,,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,,08004078,1,ZOA,TRESPASS WARNING,2008-05-08,2008-05-08,1250,2008-05-08,1249,,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,501,08004090,1,BUA,BURGLARY RESIDENTIAL,2008-05-08,2008-05-08,1130,2008-05-08,1130,,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,501,08004090,2,THM,THEFT FROM BURGLARY,2008-05-08,2008-05-08,1130,2008-05-08,1130,,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,1022,08004094,1,BUA,BURGLARY RESIDENTIAL,2008-05-08,2008-05-08,1500,2008-05-08,1500,,25.7179231,-80.2737624
1239 THEO DICKINSON DR,1022,08004094,1,THM,THEFT FROM BURGLARY,2008-05-08,2008-05-08,1500,2008-05-08,1500,,25.715591,-80.2816
1239 THEO DICKINSON DR,325,08004099,1,THK,THEFT OTHER,2008-05-09,2008-04-24,2000,2008-05-08,2000,,25.715591,-80.2816
5185 PONCE DE LEON BLVD,,08004106,1,PRA,PROPERTY FOUND IMPOUNDED,2008-05-09,2008-05-09,0800,2008-05-09,0800,,25.7179231,-80.2737624
1311 MILLER DR,,08004119,1,ZOD,INCIDENT REPORT,2008-05-09,2008-05-08,2013,2008-05-08,2013,,25.720387,-80.279546
1101 STANFORD DR,,08004191,1,ZOA,TRESPASS WARNING,2008-05-12,2008-05-12,1015,2008-05-12,1015,,25.7183323,-80.27499759999999
6100 SAN AMARO DR,,08004230,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-05-13,2008-05-13,1128,2008-05-13,1128,,25.712174,-80.28349399999999
5185 PONCE DE LEON BLVD,,08004217,1,DIB,DISTURBANCE OTHER,2008-05-13,2008-05-13,0055,2008-05-13,0.038,,25.7179231,-80.2737624
1223 THEO DICKINSON DR,,08004262,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-05-15,2008-05-15,1215,2008-05-15,1215,,25.7170977,-80.2793768
5665 PONCE DE LEON BLVD,,08004300,1,THC,THEFT FROM MOTOR VEHICLE,2008-05-16,2008-05-06,1200,2008-05-06,1200,,25.7127401,-80.2809083
5500 SAN AMARO DR,,08004299,1,THC,THEFT FROM MOTOR VEHICLE,2008-05-16,2008-05-16,0830,2008-05-16,0830,,25.7202428,-80.2810222
1101 STANFORD DR,,08004321,2,FAI,FAMILY MISSING PERSON ADULT,2008-05-17,2008-05-16,2348,2008-05-16,2348,,25.7183323,-80.27499759999999
1101 STANFORD DR,,08004325,1,PRC,PROPERTY DAMAGED,2008-05-17,2008-05-16,1400,2008-05-16,1400,,25.7183323,-80.27499759999999
1535 LIGURIA AV,,08004328,1,TVE,THEFT OF BICYCLE,2008-05-17,2008-05-14,0930,2008-05-14,0930,,25.7132651,-80.2841732
1251 MEMORIAL DR,433,08004335,1,FRJ,FRAUD ELECTRONIC COMPUTER WIRE,2008-05-17,2008-04-23,0700,2008-04-28,0700,,25.7227309,-80.2787218
1101 STANFORD DR,,08004355,1,PRB,PROPERTY LOST,2008-05-18,2008-05-05,1600,2008-05-09,1600,,25.7183323,-80.27499759999999
1531 LIGURIA AV,,08004390,1,ZOE,SUSPICIOUS INCIDENT,2008-05-19,2008-05-19,1707,2008-05-19,1707,,25.713555,-80.28445599999999
5665 PONCE DE LEON BLVD,,08004422,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-05-21,2008-05-21,1023,2008-05-21,1023,,25.7127401,-80.2809083
1211 THEO DICKINSON DR,,08004433,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-05-21,2008-05-21,1447,2008-05-21,1447,,25.716037,-80.27868200000002
5600 PONCE DE LEON BLVD,,08004453,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-05-22,2008-05-22,0935,2008-05-22,0935,,25.713698,-80.278328
1531 LIGURIA AV,,08004458,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-05-22,2008-05-22,1051,2008-05-22,1051,,25.713555,-80.28445599999999
5100 BRUNSON DR,,08004515,1,BUA,BURGLARY RESIDENTIAL,2008-05-23,2008-05-03,0900,2008-05-03,0900,,25.7224132,-80.27591269999999
6000 SAN AMARO DR,,08004515,2,THM,THEFT FROM BURGLARY,2008-05-23,2008-05-03,0900,2008-05-03,0900,,25.712888,-80.283523
6000 SAN AMARO DR,,08004518,1,PRB,PROPERTY LOST,2008-05-23,2008-05-23,1650,2008-05-23,1649,,25.712888,-80.283523
1101 STANFORD DR,,08004566,1,SCE,SIMPLE HARASSMENT,2008-05-27,2008-05-26,2311,2008-05-26,2311,,25.7183323,-80.27499759999999
1500 ZORETA AV,,08004576,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-05-27,2008-05-27,0945,2008-05-27,0945,,25.7168272,-80.2835261
1507 LEVANTE AVE,,08004578,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-05-27,2008-05-27,1026,2008-05-27,1026,,25.7109412,-80.28418549999999
1101 STANFORD DR,,08004613,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-05-28,2008-05-28,0945,2008-05-28,0945,,25.7183323,-80.27499759999999
1535 CORNICHE AV,,08005237,1,THC,THEFT FROM MOTOR VEHICLE,2008-06-20,2008-06-19,0938,2008-06-19,0938,,25.7146879,-80.28419749999999
5801 SAN AMARO DR,,08005308,1,PRA,PROPERTY FOUND IMPOUNDED,2008-06-21,2008-06-21,0708,2008-06-21,0708,,25.7167012,-80.2830467
5501 SAN AMARO DR,,08005244,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-06-21,2008-06-17,1730,2008-06-18,1730,,25.7187893,-80.2803368
1211 THEO DICKINSON DR,,08005398,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-06-24,2008-06-24,0950,2008-06-24,0950,,25.716037,-80.27868200000002
5501 SAN AMARO DR,,08005420,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-06-25,2008-06-25,1122,2008-06-25,1122,,25.7187893,-80.2803368
1311 MILLER DR,,08005542,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-06-29,2008-06-28,1715,2008-06-28,1715,,25.720387,-80.279546
1500 SAN AMARO AVE,BLK,08005558,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-06-30,2008-06-30,1309,2008-06-30,1309,,25.7229037,-80.2809522
5501 SAN AMARO DR,,08005572,1,PRC,PROPERTY DAMAGED,2008-07-01,2008-06-30,0730,2008-06-30,0730,,25.7187893,-80.2803368
5501 SAN AMARO DR,,08005585,1,PRC,PROPERTY DAMAGED,2008-07-01,2008-07-01,0715,2008-07-01,0715,,25.7187893,-80.2803368
5100 BRUNSON DR,,08005688,1,THC,THEFT FROM MOTOR VEHICLE,2008-07-06,2008-07-06,2100,2008-07-06,2100,,25.7224132,-80.27591269999999
1311 MILLER DR,,08005706,1,FDD,FD SICK INJURED PERSON,2008-07-07,2008-07-07,1750,2008-07-07,1750,,25.720387,-80.279546
5807 PONCE DE LEON BLVD,,08005741,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-07-09,2008-07-09,1018,2008-07-09,1018,,25.7095232,-80.28401860000001
5501 SAN AMARO DR,,08005760,1,ZOA,TRESPASS WARNING,2008-07-10,2008-07-10,0010,2008-07-10,0010,,25.7187893,-80.2803368
5801 SAN AMARO DR,,08006583,1,ZOA,TRESPASS WARNING,2008-08-10,2008-08-10,1146,2008-08-10,1146,,25.7167012,-80.2830467
5000 BRUNSON DR,BLK,08006593,1,ZOA,TRESPASS WARNING,2008-08-10,2008-08-10,2010,2008-08-10,2010,,25.7233487,-80.2760784
5185 PONCE DE LEON BLVD,,08006663,1,ZOD,INCIDENT REPORT,2008-08-13,2008-08-13,1015,2008-08-13,1015,,25.7179231,-80.2737624
5000 PONCE DE LEON BLVD,BLK,08006669,1,DRA,DRUG POSSESSION CONTROLLED SUBSTANCE,2008-08-13,2008-08-13,1440,2008-08-13,1440,,25.720767,-80.26999649999999
5000 PONCE DE LEON BLVD,BLK,08006669,2,DRF,DRUG POSSESSION OF PARAPHERNALIA EQUIPMENT,2008-08-13,2008-08-13,1440,2008-08-13,1440,,25.720767,-80.26999649999999
1200 THEO DICKINSON DR,BLK,08006712,1,ZOA,TRESPASS WARNING,2008-08-14,2008-08-14,1855,2008-08-14,1855,,25.7175523,-80.27766249999999
5513 GEORGE E MERRICK ST,,08006744,1,ZOD,INCIDENT REPORT,2008-08-15,2008-08-15,2000,2008-08-15,2000,,25.7184747,-80.27609939999999
5801 PONCE DE LEON BLVD,,08006775,1,THC,THEFT FROM MOTOR VEHICLE,2008-08-17,2008-08-17,1600,2008-08-17,1600,,25.7095633,-80.2839686
1101 STANFORD DR,329,08006830,1,PRA,PROPERTY FOUND IMPOUNDED,2008-08-19,2008-08-19,2245,2008-08-19,2245,,25.7183323,-80.27499759999999
1300 CAMPO SANO AV,,08006847,1,BUB,BURGLARY NON RESIDENTIAL,2008-08-20,2008-08-17,1530,2008-08-19,1530,,25.7241863,-80.2785796
1300 CAMPO SANO AV,,08006847,2,THM,THEFT FROM BURGLARY,2008-08-20,2008-08-17,1530,2008-08-19,1530,,25.7241863,-80.2785796
1311 MILLER DR,G264,08006860,1,SCE,SIMPLE HARASSMENT,2008-08-20,2008-08-20,1322,2008-08-20,1322,,25.720387,-80.279546
6201 SAN AMARO DRIVE,,08006880,1,THC,THEFT FROM MOTOR VEHICLE,2008-08-21,2008-08-21,0855,2008-08-21,0855,,25.7133381,-80.2831612
1231 THEO DICKINSON DR,,08006886,1,PRA,PROPERTY FOUND IMPOUNDED,2008-08-21,2008-08-21,1300,2008-08-21,1300,,25.7169005,-80.280238
1101 STANFORD DR,303,08006899,1,ZOD,INCIDENT REPORT,2008-08-21,2008-08-20,1100,2008-08-21,1100,,25.7183323,-80.27499759999999
5185 PONCE DE LEON BLVD,606,08006925,1,FDD,FD SICK INJURED PERSON,2008-08-23,2008-08-23,0410,2008-08-23,0410,,25.7179231,-80.2737624
