Address1,Apt,Case,Pri_Offens,Off_Code,Offense,tract,date_rept,date_occ,date_fnd,FID,X,Y
5050 BRUNSON DR,,07003278,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/11/2007""  ""00:00:00 a04/p04","04/11/2007""  ""00:00:00 a04/p04","04/11/2007""  ""00:00:00 a04/p04",20,894420.18700000003,505665.27899999998
1314 MILLER DR,,07003291,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/11/2007""  ""00:00:00 a04/p04","04/11/2007""  ""00:00:00 a04/p04","04/11/2007""  ""00:00:00 a04/p04",33,893377.17200000002,504450.17200000002
1241 THEO DICKINSON DR,,07003281,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/11/2007""  ""00:00:00 a04/p04","04/11/2007""  ""00:00:00 a04/p04","04/11/2007""  ""00:00:00 a04/p04",81,892858.31700000004,503002.52299999999
1217 THEO DICKINSON DR,201C,07003275,1,BUB,BURGLARY NON-RESIDENTIAL,07U,"04/11/2007""  ""09:20:00 a04/p04","04/ 8/2007""  ""05:00:00 a04/p04","04/ 8/2007""  ""10:00:00 a04/p04",68,893551.11,503595.68699999998
1217 THEO DICKINSON DR,201C,07003275,2,THK,THEFT OTHER,07U,"04/11/2007""  ""09:20:00 a04/p04","04/ 8/2007""  ""05:00:00 a04/p04","04/ 8/2007""  ""10:00:00 a04/p04",68,893551.11,503595.68699999998
1239 THEO DICKINSON DR,,07003308,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,"04/11/2007""  ""23:15:48 a04/p04","04/11/2007""  ""22:50:00 a04/p04","04/11/2007""  ""22:50:00 a04/p04",#N/A,#N/A,#N/A
1111 MEMORIAL DR,,07003317,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/12/2007""  ""00:00:00 a04/p04","04/12/2007""  ""00:00:00 a04/p04","04/12/2007""  ""00:00:00 a04/p04",18,894105.66599999997,505505.27299999999
1111 MEMORIAL DR,,07003320,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/12/2007""  ""00:00:00 a04/p04","04/12/2007""  ""00:00:00 a04/p04","04/12/2007""  ""00:00:00 a04/p04",18,894105.66599999997,505505.27299999999
1311 MILLER DR,,07003335,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/12/2007""  ""00:00:00 a04/p04","04/12/2007""  ""00:00:00 a04/p04","04/12/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
5185 PONCE DE LEON BLVD,444,07003313,1,FDD,FD INJURED PERSON,07U,"04/12/2007""  ""05:47:00 a04/p04","04/12/2007""  ""04:46:00 a04/p04","04/12/2007""  ""04:46:00 a04/p04",#N/A,#N/A,#N/A
1306 STANFORD DR,,07003344,1,AGA,AGGRAVATED ASSAULT,07U,"04/12/2007""  ""17:59:00 a04/p04","04/12/2007""  ""16:45:00 a04/p04","04/12/2007""  ""16:45:00 a04/p04",31,893821.40300000005,504487.02600000001
1300 MEMORIAL DR,,07003362,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/13/2007""  ""00:00:00 a04/p04","04/13/2007""  ""00:00:00 a04/p04","04/13/2007""  ""00:00:00 a04/p04",16,893634.74199999997,505003.36800000002
5200 BRUNSON DR,,07003351,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/13/2007""  ""00:00:00 a04/p04","04/13/2007""  ""00:00:00 a04/p04","04/13/2007""  ""00:00:00 a04/p04",24,894706.67700000003,505424.42
1223 THEO DICKINSON DR,,07003353,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/13/2007""  ""00:00:00 a04/p04","04/13/2007""  ""00:00:00 a04/p04","04/13/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1211 THEO DICKINSON DR,,07003354,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/13/2007""  ""00:00:00 a04/p04","04/13/2007""  ""00:00:00 a04/p04","04/13/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1228 THEO DICKINSON DR,49C115,07003348,1,VAC,VANDALISM TO PERSONAL PROPERTY,07U,"04/13/2007""  ""04:18:00 a04/p04","04/13/2007""  ""03:24:00 a04/p04","04/13/2007""  ""03:25:00 a04/p04",63,893509.95700000005,503319.49900000001
1252 MEMORIAL DR,,07003364,1,SCB,SIMPLE ASSAULT / THREATS,07U,"04/13/2007""  ""13:30:00 a04/p04","04/13/2007""  ""13:25:00 a04/p04","04/13/2007""  ""13:25:00 a04/p04",17,893876.15800000005,505263.125
1306 STANFORD DR,,07003370,1,ZOD,INCIDENT REPORT,07U,"04/13/2007""  ""15:35:13 a04/p04","04/13/2007""  ""12:00:00 a04/p04","04/13/2007""  ""13:00:00 a04/p04",31,893821.40300000005,504487.02600000001
1311 MILLER DR,RM A-117,07003377,2,FRL,FRAUD OTHER JURISDICTION,07U,"04/13/2007""  ""18:04:37 a04/p04","04/13/2007""  ""13:00:00 a04/p04","04/13/2007""  ""15:20:00 a04/p04",#N/A,#N/A,#N/A
1311 MILLER DR,RM A-117,07003377,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"04/13/2007""  ""18:04:37 a04/p04","04/13/2007""  ""13:00:00 a04/p04","04/13/2007""  ""15:20:00 a04/p04",#N/A,#N/A,#N/A
5501 SAN AMARO DR,RM 230,07003381,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"04/13/2007""  ""20:01:10 a04/p04","04/13/2007""  ""12:50:00 a04/p04","04/13/2007""  ""13:00:00 a04/p04",#N/A,#N/A,#N/A
1247 WILLIAM E WALSH AV,47E,07003347,1,FDD,FD INJURED PERSON,07U,"04/14/2007""  ""00:00:00 a04/p04","04/13/2007""  ""00:30:00 a04/p04","04/13/2007""  ""01:00:00 a04/p04",#N/A,#N/A,#N/A
1300 STANFORD DR,BLK,07003399,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/14/2007""  ""00:00:00 a04/p04","04/14/2007""  ""00:00:00 a04/p04","04/14/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1231 THEO DICKINSON DR,PENTLD1014,07003384,1,ALA,ALCOHOL JUVENILE VIOLATION,07U,"04/14/2007""  ""01:17:13 a04/p04","04/14/2007""  ""01:00:00 a04/p04","04/14/2007""  ""01:07:00 a04/p04",#N/A,#N/A,#N/A
1211 THEO DICKINSON DR,309,07003388,1,FDD,FD INJURED PERSON,07U,"04/14/2007""  ""03:11:05 a04/p04","04/14/2007""  ""03:05:04 a04/p04","04/14/2007""  ""03:11:05 a04/p04",#N/A,#N/A,#N/A
5501 SAN AMARO DR,,07003414,1,DRA,DRUG POSSESSION CONTROLLED SUBSTANCE,07U,"04/15/2007""  ""05:00:00 a04/p04","04/15/2007""  ""01:17:00 a04/p04","04/15/2007""  ""01:17:00 a04/p04",#N/A,#N/A,#N/A
1306 STANFORD DR,,07003421,1,ZOD,INCIDENT REPORT,07U,"04/15/2007""  ""10:16:00 a04/p04","04/15/2007""  ""10:15:00 a04/p04","04/15/2007""  ""10:15:00 a04/p04",31,893821.40300000005,504487.02600000001
1101 STANFORD DR,,07003435,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/16/2007""  ""00:00:00 a04/p04","04/16/2007""  ""00:00:00 a04/p04","04/16/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1515 BRESCIA AVE,,07003442,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/16/2007""  ""00:00:00 a04/p04","04/16/2007""  ""00:00:00 a04/p04","04/16/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1244 STANFORD DR,,07003447,1,ANB,ANIMAL BITE / ATTACK,07U,"04/16/2007""  ""16:32:20 a04/p04","04/16/2007""  ""16:20:00 a04/p04","04/16/2007""  ""16:22:20 a04/p04",45,895022.70700000005,504471.212
1300 MEMORIAL DR,,07003461,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/17/2007""  ""00:00:00 a04/p04","04/17/2007""  ""00:00:00 a04/p04","04/17/2007""  ""00:00:00 a04/p04",16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,07003462,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/17/2007""  ""00:00:00 a04/p04","04/17/2007""  ""00:00:00 a04/p04","04/17/2007""  ""00:00:00 a04/p04",16,893634.74199999997,505003.36800000002
5615 PAVIA ST,,07003480,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/17/2007""  ""00:00:00 a04/p04","04/17/2007""  ""00:00:00 a04/p04","04/17/2007""  ""00:00:00 a04/p04",54,894485.30200000003,503768.17499999999
1241 THEO DICKINSON DR,,07003463,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/17/2007""  ""00:00:00 a04/p04","04/17/2007""  ""00:00:00 a04/p04","04/17/2007""  ""00:00:00 a04/p04",81,892858.31700000004,503002.52299999999
1221 WILLIAM E WALSH AV,,07003454,1,VAB,VANDALISM TO VEHICLE,07U,"04/17/2007""  ""02:42:30 a04/p04","04/16/2007""  ""18:30:00 a04/p04","04/17/2007""  ""02:42:00 a04/p04",60,893899.23800000001,503195.21100000001
1550 BRESCIA AV,,07003457,1,VAB,VANDALISM TO VEHICLE,07U,"04/17/2007""  ""08:16:35 a04/p04","04/11/2007""  ""15:00:00 a04/p04","04/17/2007""  ""08:00:00 a04/p04",97,891684.67799999996,501443.87400000001
1231 THEO DICKINSON DR,,07003456,1,THG,THEFT FROM COIN OPERATED MACHINE,07U,"04/17/2007""  ""09:00:00 a04/p04","04/11/2007""  ""13:00:00 a04/p04","04/13/2007""  ""13:00:00 a04/p04",#N/A,#N/A,#N/A
1231 THEO DICKINSON DR,,07003456,2,VAC,VANDALISM TO PERSONAL PROPERTY,07U,"04/17/2007""  ""09:00:00 a04/p04","04/11/2007""  ""13:00:00 a04/p04","04/13/2007""  ""13:00:00 a04/p04",#N/A,#N/A,#N/A
1500 ALBENGA AV,BLK,07003465,1,VAB,VANDALISM TO VEHICLE,07U,"04/17/2007""  ""11:02:00 a04/p04","04/ 9/2007""  ""14:00:00 a04/p04","04/12/2007""  ""15:00:00 a04/p04",#N/A,#N/A,#N/A
5050 BRUNSON DR,,07003510,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/18/2007""  ""00:00:00 a04/p04","04/18/2007""  ""00:00:00 a04/p04","04/18/2007""  ""00:00:00 a04/p04",20,894420.18700000003,505665.27899999998
5200 SAN AMARO DR,,07003518,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/18/2007""  ""00:00:00 a04/p04","04/18/2007""  ""00:00:00 a04/p04","04/18/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
5200 SAN AMARO DR,BLK,07003522,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/18/2007""  ""00:00:00 a04/p04","04/18/2007""  ""00:00:00 a04/p04","04/18/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
5700 PONCE DE LEON BLVD,BLK,07003499,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,"04/18/2007""  ""01:30:19 a04/p04","04/17/2007""  ""23:46:00 a04/p04","04/17/2007""  ""23:56:00 a04/p04",#N/A,#N/A,#N/A
1231 THEO DICKINSON DR,,07003497,1,VAC,VANDALISM TO PERSONAL PROPERTY,07U,"04/18/2007""  ""01:48:00 a04/p04","04/17/2007""  ""22:34:00 a04/p04","04/17/2007""  ""22:35:00 a04/p04",#N/A,#N/A,#N/A
5665 PONCE DE LEON BLVD,,07003502,1,FRG,FRAUD POSSESSION OF COUNTERFEIT,07U,"04/18/2007""  ""04:57:33 a04/p04","04/17/2007""  ""17:00:00 a04/p04","04/18/2007""  ""03:00:00 a04/p04",#N/A,#N/A,#N/A
5665 PONCE DE LEON BLVD,,07003502,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,"04/18/2007""  ""04:57:33 a04/p04","04/17/2007""  ""17:00:00 a04/p04","04/18/2007""  ""03:00:00 a04/p04",#N/A,#N/A,#N/A
5665 PONCE DE LEON BLVD,,07003521,1,SCB,SIMPLE ASSAULT / THREATS,07U,"04/18/2007""  ""13:30:00 a04/p04","04/18/2007""  ""12:46:00 a04/p04","04/18/2007""  ""12:51:00 a04/p04",#N/A,#N/A,#N/A
1203 WILLIAM E WALSH AV,,07003543,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/19/2007""  ""00:00:00 a04/p04","04/19/2007""  ""00:00:00 a04/p04","04/19/2007""  ""00:00:00 a04/p04",58,894141.21200000006,503428.23700000002
1311 MILLER DR,,07003540,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/19/2007""  ""00:00:00 a04/p04","04/19/2007""  ""00:00:00 a04/p04","04/19/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1311 MILLER DR,BLK,07003555,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/19/2007""  ""00:00:00 a04/p04","04/19/2007""  ""00:00:00 a04/p04","04/19/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1311 MILLER DR,E270,07003547,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"04/19/2007""  ""13:12:04 a04/p04","04/19/2007""  ""12:35:00 a04/p04","04/19/2007""  ""13:00:00 a04/p04",#N/A,#N/A,#N/A
5100 PONCE DE LEON BLVD,BLK,07003569,1,DRF,DRUG POSSESSION OF PARAPHERNALIA / EQUIPMENT,07U,"04/19/2007""  ""23:28:00 a04/p04","04/19/2007""  ""23:28:00 a04/p04","04/19/2007""  ""23:28:00 a04/p04",#N/A,#N/A,#N/A
1311 MILLER DR,,07003577,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/20/2007""  ""00:00:00 a04/p04","04/20/2007""  ""00:00:00 a04/p04","04/20/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
5400 PONCE DE LEON BLVD,BLK,07003570,1,XOM,OBSTRUCTION OF JUSTICE / RESIST ARREST / ESCAPE,07U,"04/20/2007""  ""00:44:00 a04/p04","04/20/2007""  ""00:00:00 a04/p04","04/20/2007""  ""00:10:00 a04/p04",#N/A,#N/A,#N/A
5500 PONCE DE LEON BLVD/DAUER DR,BLK,07003606,1,VEC,VEHICLE TRAFFIC OFFENSE (NON-DUI),07U,"04/21/2007""  ""01:00:34 a04/p04","04/21/2007""  ""00:35:00 a04/p04","04/21/2007""  ""00:40:00 a04/p04",#N/A,#N/A,#N/A
5100 UNIVERSITY DR,BLK,07003612,1,ZOA,TRESPASS WARNING,07U,"04/21/2007""  ""03:42:52 a04/p04","04/21/2007""  ""03:39:51 a04/p04","04/21/2007""  ""03:40:52 a04/p04",#N/A,#N/A,#N/A
5801 SAN AMARO DR,,07003619,1,ZOD,INCIDENT REPORT,07U,"04/21/2007""  ""09:30:00 a04/p04","04/20/2007""  ""07:53:00 a04/p04","04/21/2007""  ""08:39:00 a04/p04",#N/A,#N/A,#N/A
1239 THEO DICKINSON DR,,07003646,1,VAC,VANDALISM TO PERSONAL PROPERTY,07U,"04/22/2007""  ""03:34:00 a04/p04","04/22/2007""  ""02:12:00 a04/p04","04/22/2007""  ""02:13:00 a04/p04",#N/A,#N/A,#N/A
1231 THEO DICKINSON DR,,07003644,1,ZOA,TRESPASS WARNING,07U,"04/22/2007""  ""04:04:00 a04/p04","04/22/2007""  ""02:42:00 a04/p04","04/22/2007""  ""02:43:00 a04/p04",#N/A,#N/A,#N/A
1527 ALBENGA AV,307C,07003650,1,BUA,BURGLARY RESIDENTIAL,07U,"04/22/2007""  ""07:31:24 a04/p04","04/21/2007""  ""19:00:00 a04/p04","04/21/2007""  ""23:15:00 a04/p04",110,891783.19900000002,502422.848
1527 ALBENGA AV,307C,07003650,2,THK,THEFT OTHER,07U,"04/22/2007""  ""07:31:24 a04/p04","04/21/2007""  ""19:00:00 a04/p04","04/21/2007""  ""23:15:00 a04/p04",110,891783.19900000002,502422.848
5665 PONCE DE LEON BLVD,327,07003658,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"04/22/2007""  ""11:45:12 a04/p04","04/18/2007""  ""12:00:00 a04/p04","04/18/2007""  ""16:00:00 a04/p04",#N/A,#N/A,#N/A
5100 BRUNSON DR,,07003681,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/23/2007""  ""00:00:00 a04/p04","04/23/2007""  ""00:00:00 a04/p04","04/23/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1101 STANFORD DR,,07003683,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/23/2007""  ""00:00:00 a04/p04","04/23/2007""  ""00:00:00 a04/p04","04/23/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1200 THEO DICKINSON DR,,07003686,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/23/2007""  ""00:00:00 a04/p04","04/23/2007""  ""00:00:00 a04/p04","04/23/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
5100 BRUNSON DR,,07003691,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/23/2007""  ""00:00:00 a04/p04","04/23/2007""  ""00:00:00 a04/p04","04/23/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
5100 BRUNSON DR,,07003692,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/23/2007""  ""00:00:00 a04/p04","04/23/2007""  ""00:00:00 a04/p04","04/23/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
5821 SAN AMARO DR,,07003695,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/23/2007""  ""00:00:00 a04/p04","04/23/2007""  ""00:00:00 a04/p04","04/23/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
5100 BRUNSON DR,,07003675,1,ZOD,INCIDENT REPORT,07U,"04/23/2007""  ""04:28:49 a04/p04","04/23/2007""  ""04:10:48 a04/p04","04/23/2007""  ""04:14:49 a04/p04",#N/A,#N/A,#N/A
5225 PONCE DE LEON BLV,,07003689,1,ZOD,INCIDENT REPORT,07U,"04/23/2007""  ""13:31:01 a04/p04","04/23/2007""  ""11:30:00 a04/p04","04/23/2007""  ""11:45:00 a04/p04",#N/A,#N/A,#N/A
5200 UNIVERSITY DR,106,07003700,1,ZOD,INCIDENT REPORT,07U,"04/23/2007""  ""16:44:42 a04/p04","04/20/2007""  ""16:00:00 a04/p04","04/20/2007""  ""16:00:00 a04/p04",26,894776.12800000003,505230.76899999997
5225 PONCE DE LEON BLVD,,07003731,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/24/2007""  ""00:00:00 a04/p04","04/24/2007""  ""00:00:00 a04/p04","04/24/2007""  ""00:00:00 a04/p04",53,894801.88399999996,503471.82400000002
1541 BRESCIA AV,,07003724,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/24/2007""  ""00:00:00 a04/p04","04/24/2007""  ""00:00:00 a04/p04","04/24/2007""  ""00:00:00 a04/p04",100,891661.20299999998,501694.89199999999
1211 MILLER DR,,07003732,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/24/2007""  ""00:00:00 a04/p04","04/24/2007""  ""00:00:00 a04/p04","04/24/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
5050 BRUNSON DR,,07003739,1,THC,THEFT FROM MOTOR VEHICLE,07U,"04/24/2007""  ""17:55:56 a04/p04","04/24/2007""  ""17:35:00 a04/p04","04/24/2007""  ""17:50:00 a04/p04",20,894420.18700000003,505665.27899999998
1535 LEVANTE AV,,07003754,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/25/2007""  ""00:00:00 a04/p04","04/25/2007""  ""00:00:00 a04/p04","04/25/2007""  ""00:00:00 a04/p04",94,891627.89,501154.33500000002
1101 STANFORD DR,,07003751,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/25/2007""  ""00:00:00 a04/p04","04/25/2007""  ""00:00:00 a04/p04","04/25/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
5501 SAN AMARO DR,,07003752,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/25/2007""  ""00:00:00 a04/p04","04/25/2007""  ""00:00:00 a04/p04","04/25/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1200 PAVIA ST,,07003753,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/25/2007""  ""00:00:00 a04/p04","04/25/2007""  ""00:00:00 a04/p04","04/25/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1300 MEMORIAL DR,,07003777,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"04/25/2007""  ""17:08:43 a04/p04","04/25/2007""  ""16:00:00 a04/p04","04/25/2007""  ""16:20:00 a04/p04",16,893634.74199999997,505003.36800000002
5183 PONCE DE LEON BLVD,,07003799,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/26/2007""  ""00:00:00 a04/p04","04/26/2007""  ""00:00:00 a04/p04","04/26/2007""  ""00:00:00 a04/p04",49,895569.78700000001,504323.94
5100 UNIVERSITY DR,,07003807,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/26/2007""  ""00:00:00 a04/p04","04/26/2007""  ""00:00:00 a04/p04","04/26/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1241 THEO DICKINSON DR,,07003786,1,VAB,VANDALISM TO VEHICLE,07U,"04/26/2007""  ""02:58:57 a04/p04","04/24/2006""  ""17:00:00 a04/p04","04/25/2007""  ""17:00:00 a04/p04",81,892858.31700000004,503002.52299999999
1306 STANFORD DR,RM 201,07003797,1,ZOE,SUSPICIOUS INCIDENT,07U,"04/26/2007""  ""09:38:10 a04/p04","04/24/2007""  ""13:37:00 a04/p04","04/24/2007""  ""13:37:00 a04/p04",31,893821.40300000005,504487.02600000001
1306 STANFORD DR,,07003806,1,FRB,FRAUD BY FALSE PRETENSE,07U,"04/26/2007""  ""10:30:00 a04/p04","04/25/2007""  ""16:06:00 a04/p04","04/26/2007""  ""10:20:00 a04/p04",31,893821.40300000005,504487.02600000001
5600 GEORGE E MERRICK ST,,07003805,1,ZOA,TRESPASS WARNING,07U,"04/26/2007""  ""10:51:00 a04/p04","04/26/2007""  ""10:51:00 a04/p04","04/26/2007""  ""10:51:00 a04/p04",#N/A,#N/A,#N/A
1200 THEO DICKINSON DR,,07003818,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/26/2007""  ""15:06:41 a04/p04","04/26/2007""  ""15:00:40 a04/p04","04/26/2007""  ""15:00:41 a04/p04",#N/A,#N/A,#N/A
1320 CAMPO SANO AV,,07003828,1,FDC,FD OTHER FIRE,07U,"04/26/2007""  ""19:10:00 a04/p04","04/26/2007""  ""17:09:00 a04/p04","04/26/2007""  ""17:10:00 a04/p04",#N/A,#N/A,#N/A
5665 PONCE DE LEON BLVD,,07003836,1,VAB,VANDALISM TO VEHICLE,07U,"04/26/2007""  ""23:34:00 a04/p04","04/26/2007""  ""18:30:00 a04/p04","04/26/2007""  ""23:30:00 a04/p04",#N/A,#N/A,#N/A
1550 LEVANTE AV,,07003860,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/27/2007""  ""00:00:00 a04/p04","04/27/2007""  ""00:00:00 a04/p04","04/27/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1540 CORNICHE AV,104,07003838,1,ZOA,TRESPASS WARNING,07U,"04/27/2007""  ""04:40:00 a04/p04","04/27/2007""  ""04:35:00 a04/p04","04/27/2007""  ""04:37:00 a04/p04",108,891547.33,502483.14199999999
5100 BRUNSON DR,,07003848,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"04/27/2007""  ""10:50:04 a04/p04","04/26/2007""  ""23:15:00 a04/p04","04/27/2007""  ""00:30:00 a04/p04",#N/A,#N/A,#N/A
5501 SAN AMARO DR,,07003856,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,"04/27/2007""  ""12:28:08 a04/p04","04/27/2007""  ""12:10:00 a04/p04","04/27/2007""  ""12:15:00 a04/p04",#N/A,#N/A,#N/A
1527 ALBENGA AV,407,07003858,1,SCB,SIMPLE ASSAULT / THREATS,07U,"04/27/2007""  ""13:55:00 a04/p04","04/24/2007""  ""11:30:00 a04/p04","04/25/2007""  ""00:30:00 a04/p04",110,891783.19900000002,502422.848
1239 THEO DICKINSON DR,,07003907,1,DIB,DISTURBANCE OTHER,07U,"04/29/2007""  ""03:04:00 a04/p04","04/29/2007""  ""03:00:00 a04/p04","04/29/2007""  ""03:02:00 a04/p04",#N/A,#N/A,#N/A
1239 THEO DICKINSON DR,1204,07003908,1,PRB,PROPERTY LOST,07U,"04/29/2007""  ""04:15:21 a04/p04","04/29/2007""  ""03:50:20 a04/p04","04/29/2007""  ""04:05:21 a04/p04",#N/A,#N/A,#N/A
1239 THEO DICKINSON DR,W110,07003910,1,ZOD,INCIDENT REPORT,07U,"04/29/2007""  ""04:30:00 a04/p04","04/29/2007""  ""04:00:00 a04/p04","04/29/2007""  ""04:00:00 a04/p04",#N/A,#N/A,#N/A
1244 STANFORD DR,,07003924,1,THK,THEFT OTHER,07U,"04/29/2007""  ""22:17:02 a04/p04","04/29/2007""  ""15:00:00 a04/p04","04/29/2007""  ""16:00:00 a04/p04",45,895022.70700000005,504471.212
5501 SAN AMARO DR,,07003947,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"04/30/2007""  ""00:00:00 a04/p04","04/30/2007""  ""00:00:00 a04/p04","04/30/2007""  ""00:00:00 a04/p04",#N/A,#N/A,#N/A
1231 THEO DICKINSON DR.,PT516,07003938,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"04/30/2007""  ""10:50:04 a04/p04","04/24/2007""  ""10:30:00 a04/p04","04/24/2007""  ""10:35:00 a04/p04",#N/A,#N/A,#N/A
5821 SAN AMARO DR,,07003943,1,THK,THEFT OTHER,07U,"04/30/2007""  ""13:32:00 a04/p04","03/ 8/2007""  ""08:45:00 a03/p03","03/ 8/2007""  ""11:30:00 a03/p03",#N/A,#N/A,#N/A
5665 PONCE DE LEON BLVD,,07003965,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,"04/30/2007""  ""23:41:28 a04/p04","04/30/2007""  ""23:00:00 a04/p04","04/30/2007""  ""23:00:00 a04/p04",#N/A,#N/A,#N/A
5665 PONCE DE LEON BLVD,,07004006,1,SCD,SIMPLE STALKING,07U,"05/ 1/2007""  ""19:14:44 a05/p05","09/15/2006""  ""01:00:00 a09/p09","04/30/2007""  ""05:00:00 a04/p04",#N/A,#N/A,#N/A
5665 PONCE DE LEON BLVD,,07004006,1,SCE,SIMPLE HARASSMENT,07U,"05/ 1/2007""  ""19:14:44 a05/p05","09/15/2006""  ""01:00:00 a09/p09","04/30/2007""  ""05:00:00 a04/p04",#N/A,#N/A,#N/A
