ADDRESS,Apt,Caee,Primary Offense,Off_Code,Offense,tract,repdate,date_rept,date_occu,hour_occu,dow1,date_fnd,hour_fnd,,,,,
1245 DAUER DR,,11004417,1,AGD,AGGRAVATED BATTERY,07U,,06/ 7/2011,11/06/07,[$-409]16:15 a06/p06,[$-409]16:15 a06/p06,06/ 7/2011,[$-409]16:15 a06/p06,,,,,
1245 DAUER DR,,11004417,2,ASA,ASSIST LAW AGENCY,07U,,06/ 7/2011,11/06/07,[$-409]16:15 a06/p06,[$-409]16:15 a06/p06,06/ 7/2011,[$-409]16:15 a06/p06,,,,,
1245 DAUER DR,,11004417,2,SCB,SIMPLE ASSAULT / THREATS,07U,,06/ 7/2011,11/06/07,[$-409]16:15 a06/p06,[$-409]16:15 a06/p06,06/ 7/2011,[$-409]16:15 a06/p06,,,,,
1245 DAUER DR,,11004417,2,SCA,SIMPLE BATTERY,07U,,06/ 7/2011,11/06/07,[$-409]16:15 a06/p06,[$-409]16:15 a06/p06,06/ 7/2011,[$-409]16:15 a06/p06,,,,,
1306 STANFORD DR,,11004432,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,06/ 8/2011,11/06/08,[$-409]02:25 a06/p06,[$-409]02:25 a06/p06,06/ 8/2011,[$-409]02:26 a06/p06,886,893970.34400000004,504390.185,,
1241 DICKINSON DR,,11004433,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,,06/ 8/2011,11/06/08,[$-409]04:11 a06/p06,[$-409]04:11 a06/p06,06/ 8/2011,[$-409]04:11 a06/p06,723,893030.946,502702.36300000001,,
1241 DICKINSON DR,,11004433,1,ZOA,TRESPASS WARNING,07U,,06/ 8/2011,11/06/08,[$-409]04:11 a06/p06,[$-409]04:11 a06/p06,06/ 8/2011,[$-409]04:11 a06/p06,723,893030.946,502702.36300000001,,
5200 UNIVERSITY DR,200,11004437,1,BUB,BURGLARY NON-RESIDENTIAL,07U,,06/ 8/2011,11/06/08,[$-409]10:00 a06/p06,[$-409]10:00 a06/p06,06/ 8/2011,[$-409]10:15 a06/p06,26,894776.12800000003,505230.76899999997,,
1306 STANFORD DR,,11004444,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,06/ 8/2011,11/06/08,[$-409]10:00 a06/p06,[$-409]10:00 a06/p06,06/ 8/2011,[$-409]10:20 a06/p06,896,894062.38600000006,504401.13199999998,,
5600 PONCE DE LEON BLVD,,11004450,1,DIB,DISTURBANCE OTHER,07U,,06/ 8/2011,11/06/08,[$-409]21:34 a06/p06,[$-409]21:34 a06/p06,06/ 7/2011,[$-409]21:34 a06/p06,930,893082.04,501750.109,,
5600 PONCE DE LEON BLVD,,11004450,2,VEC,VEHICLE TRAFFIC OFFENSE (NON-DUI),07U,,06/ 8/2011,11/06/08,[$-409]21:34 a06/p06,[$-409]21:34 a06/p06,06/ 7/2011,[$-409]21:34 a06/p06,930,893082.04,501750.109,,
5200 PONCE DE LEON BLVD,BLK,11004458,1,VAB,VANDALISM TO VEHICLE,07U,,06/ 8/2011,11/06/08,[$-409]07:30 a06/p06,[$-409]07:30 a06/p06,06/ 8/2011,[$-409]17:30 a06/p06,970,894891.03300000005,503379.85200000001,,
6599 SAN AMARO DR/PONCE DE LEON BLVD,,11004493,1,ZZZ,VOID (RECORDS USE ONLY),07U,,06/10/2011,11/06/10,[$-409]00:00 a06/p06,[$-409]00:00 a06/p06,06/10/2011,[$-409]00:00 a06/p06,,,,,
1245 DAUER DR,,11004495,1,ZZZ,VOID (RECORDS USE ONLY),07U,,06/ 9/2011,11/06/09,[$-409]00:00 a06/p06,[$-409]00:00 a06/p06,06/ 9/2011,[$-409]00:00 a06/p06,,,,,
1241 DICKINSON DR,,11004505,1,FAH,JUVENILE INCIDENT,07U,,06/10/2011,11/06/10,[$-409]13:05 a06/p06,[$-409]13:05 a06/p06,06/10/2011,[$-409]13:14 a06/p06,81,892858.31700000004,503002.52299999999,,
1551 BRESCIA AV,,11004507,1,THK,THEFT OTHER,07U,,06/10/2011,11/06/10,[$-409]11:14 a06/p06,[$-409]11:14 a06/p06,06/ 9/2011,[$-409]19:00 a06/p06,263,891627.76800000004,501776.32799999998,,
5200 BRUNSON DR,,11004515,1,XOO,EXTORTION / BLACKMAIL,07U,,06/11/2011,11/06/11,[$-409]15:38 a06/p06,[$-409]15:38 a06/p06,06/10/2011,[$-409]17:35 a06/p06,25,894657.04599999997,505512.82299999997,,
1549 S ALHAMBRA CIR/PONCE DE LEON BLVD,,11004541,1,ZZZ,VOID (RECORDS USE ONLY),07U,,06/11/2011,11/06/11,[$-409]00:00 a06/p06,[$-409]00:00 a06/p06,06/11/2011,[$-409]00:00 a06/p06,,,,,
1550 BRESCIA AV,,11004628,1,FDD,FD SICK/INJURED PERSON,07U,,06/15/2011,11/06/15,[$-409]11:08 a06/p06,[$-409]11:08 a06/p06,06/15/2011,[$-409]11:10 a06/p06,212,891529.86800000002,501506.755,,
1231 DICKINSON DR,,11004689,1,ZOJ,BAKER / MARCHMAN ACT,07U,,06/17/2011,11/06/17,[$-409]02:35 a06/p06,[$-409]02:35 a06/p06,06/17/2011,[$-409]02:36 a06/p06,,,,,
5821 SAN AMARO DR,,11004693,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,06/18/2011,11/06/18,[$-409]09:30 a06/p06,[$-409]09:30 a06/p06,06/16/2011,[$-409]20:00 a06/p06,82,892358.66299999994,502658.90399999998,,
1306 STANFORD DR,,11004695,1,ZOA,TRESPASS WARNING,07U,,06/17/2011,11/06/17,[$-409]09:46 a06/p06,[$-409]09:46 a06/p06,06/17/2011,[$-409]09:46 a06/p06,16,893634.74199999997,505003.36800000002,,
5821 HURRICANE DR,,11004731,1,FAH,JUVENILE INCIDENT,07U,,06/18/2011,11/06/18,[$-409]14:55 a06/p06,[$-409]14:55 a06/p06,06/18/2011,[$-409]15:05 a06/p06,82,892358.66299999994,502658.90399999998,,
1306 STANFORD DR,,11004753,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,06/20/2011,11/06/20,[$-409]08:30 a06/p06,[$-409]08:30 a06/p06,06/20/2011,[$-409]08:30 a06/p06,,,,,
1565 LIGURIA AV,104,11004754,1,ZOD,INCIDENT REPORT,07U,,06/20/2011,11/06/20,[$-409]06:42 a06/p06,[$-409]06:42 a06/p06,06/20/2011,[$-409]06:42 a06/p06,,,,,
1400 MILLER RD,,11004755,1,VAC,VANDALISM TO PROPERTY,07U,,06/20/2011,11/06/20,[$-409]00:00 a06/p06,[$-409]00:00 a06/p06,06/20/2011,[$-409]08:00 a06/p06,,,,,
5800 SAN AMARO DR,,11004756,1,THK,THEFT OTHER,07U,,06/20/2011,11/06/20,[$-409]14:00 a06/p06,[$-409]14:00 a06/p06,06/20/2011,[$-409]10:00 a06/p06,586,891990.73199999996,503116.70500000002,,
5800 SAN AMARO DR,,11004756,2,ZOA,TRESPASS WARNING,07U,,06/20/2011,11/06/20,[$-409]14:00 a06/p06,[$-409]14:00 a06/p06,06/20/2011,[$-409]10:00 a06/p06,586,891990.73199999996,503116.70500000002,,
1301 MEMORIAL DR,,11004765,1,PRC,PROPERTY DAMAGED,07U,,06/20/2011,11/06/20,[$-409]07:10 a06/p06,[$-409]07:10 a06/p06,06/20/2011,[$-409]16:30 a06/p06,480,893347.84100000001,505621.9,,
1535 LEVANTE AV,,11004773,1,PRC,PROPERTY DAMAGED,07U,,06/21/2011,11/06/21,[$-409]15:10 a06/p06,[$-409]15:10 a06/p06,06/21/2011,[$-409]07:05 a06/p06,94,891627.89,501154.33500000002,,
1231 DICKINSON DR,,11004777,1,TVE,THEFT OF BICYCLE,07U,,06/21/2011,11/06/21,[$-409]18:30 a06/p06,[$-409]18:30 a06/p06,06/20/2011,[$-409]22:30 a06/p06,848,893063.03500000003,503398.39399999997,,
1507 LEVANTE AV,,11004841,1,ZZZ,VOID (RECORDS USE ONLY),07U,,06/23/2011,11/06/23,[$-409]00:00 a06/p06,[$-409]00:00 a06/p06,06/23/2011,[$-409]00:00 a06/p06,,,,,
1535 LEVANTE AV,,11004868,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,06/24/2011,11/06/24,[$-409]07:00 a06/p06,[$-409]07:00 a06/p06,06/24/2011,[$-409]15:00 a06/p06,93,891481.01699999999,501161.06900000002,,
5225 PONCE DE LEON BLVD,,11004869,1,VEL,VEHICLE TRAFFIC CRASH,07U,,06/24/2011,11/06/24,[$-409]00:00 a06/p06,[$-409]00:00 a06/p06,06/24/2011,[$-409]00:00 a06/p06,53,894801.88399999996,503471.82400000002,,
5615 PAVIA ST,,11004932,1,PRC,PROPERTY DAMAGED,07U,,06/27/2011,11/06/27,[$-409]11:12 a06/p06,[$-409]11:12 a06/p06,06/27/2011,[$-409]11:12 a06/p06,54,894485.30200000003,503768.17499999999,,
6000 SAN AMARO DR,BLK,11005042,1,VEL,VEHICLE TRAFFIC CRASH,07U,,07/ 1/2011,11/07/01,[$-409]00:00 a07/p07,[$-409]00:00 a07/p07,07/ 1/2011,[$-409]00:00 a07/p07,,,,,
1245 DAUER DR,,11005091,1,DCC,DISORDERLY INTOXICATION,07U,,07/ 3/2011,11/07/03,[$-409]23:09 a07/p07,[$-409]23:09 a07/p07,07/ 3/2011,[$-409]23:09 a07/p07,65,893424.071,502854.73300000001,,
1245 DAUER DR,,11005091,2,ZOA,TRESPASS WARNING,07U,,07/ 3/2011,11/07/03,[$-409]23:09 a07/p07,[$-409]23:09 a07/p07,07/ 3/2011,[$-409]23:09 a07/p07,65,893424.071,502854.73300000001,,
1245 DAUER DR,,11005093,1,FDD,FD SICK/INJURED PERSON,07U,,07/ 3/2011,11/07/03,[$-409]23:00 a07/p07,[$-409]23:00 a07/p07,07/ 3/2011,[$-409]23:00 a07/p07,872,893813.56400000001,502731.55800000002,,
1245 DAUER DR,,11005093,2,FAH,JUVENILE INCIDENT,07U,,07/ 3/2011,11/07/03,[$-409]23:00 a07/p07,[$-409]23:00 a07/p07,07/ 3/2011,[$-409]23:00 a07/p07,872,893813.56400000001,502731.55800000002,,
1245 DAUER DR,,11005094,1,SCA,SIMPLE BATTERY,07U,,07/ 4/2011,11/07/04,[$-409]00:00 a07/p07,[$-409]00:00 a07/p07,07/ 4/2011,[$-409]00:30 a07/p07,65,893424.071,502854.73300000001,,
1245 DAUER DR,,11005097,2,FAH,JUVENILE INCIDENT,07U,,07/ 4/2011,11/07/04,[$-409]02:00 a07/p07,[$-409]02:00 a07/p07,07/ 4/2011,[$-409]02:00 a07/p07,65,893424.071,502854.73300000001,,
1245 DAUER DR,,11005097,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,,07/ 4/2011,11/07/04,[$-409]02:00 a07/p07,[$-409]02:00 a07/p07,07/ 4/2011,[$-409]02:00 a07/p07,65,893424.071,502854.73300000001,,
1245 DAUER DR,,11005097,1,ZOA,TRESPASS WARNING,07U,,07/ 4/2011,11/07/04,[$-409]02:00 a07/p07,[$-409]02:00 a07/p07,07/ 4/2011,[$-409]02:00 a07/p07,65,893424.071,502854.73300000001,,
1231 DICKINSON DR,PT807,11005104,2,DIA,DISTURBANCE DOMESTIC,07U,,07/ 4/2011,11/07/04,[$-409]15:40 a07/p07,[$-409]15:40 a07/p07,07/ 4/2011,[$-409]15:40 a07/p07,71,893300.82700000005,503382.65600000002,,
1231 DICKINSON DR,PT807,11005104,1,SCA,SIMPLE BATTERY,07U,,07/ 4/2011,11/07/04,[$-409]15:40 a07/p07,[$-409]15:40 a07/p07,07/ 4/2011,[$-409]15:40 a07/p07,71,893300.82700000005,503382.65600000002,,
1245 DAUER DR,,11005108,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,07/ 4/2011,11/07/04,[$-409]23:40 a07/p07,[$-409]23:40 a07/p07,07/ 3/2011,[$-409]23:40 a07/p07,65,893424.071,502854.73300000001,,
1101 STANFORD DR,202,11005130,1,BUA,BURGLARY RESIDENTIAL,07U,,07/ 5/2011,11/07/05,[$-409]22:00 a07/p07,[$-409]22:00 a07/p07,07/ 4/2011,[$-409]11:00 a07/p07,131,895221.08200000005,503966.17599999998,,
1101 STANFORD DR,202,11005130,2,THM,THEFT FROM BURGLARY,07U,,07/ 5/2011,11/07/05,[$-409]22:00 a07/p07,[$-409]22:00 a07/p07,07/ 4/2011,[$-409]11:00 a07/p07,131,895221.08200000005,503966.17599999998,,
1500 BRESCIA AV/SAN AMARO DR,,11005138,1,VEL,VEHICLE TRAFFIC CRASH,07U,,07/ 6/2011,11/07/06,[$-409]00:00 a07/p07,[$-409]00:00 a07/p07,07/ 6/2011,[$-409]00:00 a07/p07,328,892137.06,501546.40299999999,,
1111 MEMORIAL DRIVE,,11005139,1,VAA,VANDALISM TO STRUCTURE,07U,,07/ 6/2011,11/07/06,[$-409]21:00 a07/p07,[$-409]21:00 a07/p07,07/ 6/2011,[$-409]08:00 a07/p07,18,894105.66599999997,505505.27299999999,,
5665 PONCE DE LEON BLVD,,11005142,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,07/ 6/2011,11/07/06,[$-409]21:45 a07/p07,[$-409]21:45 a07/p07,07/ 4/2011,[$-409]01:30 a07/p07,65,893424.071,502854.73300000001,,
1500 LEVANTE AV,BLK,11005158,1,VEA,VEHICLE DRIVING / BOATING UNDER THE INFLUENCE,07U,,07/ 7/2011,11/07/07,[$-409]00:45 a07/p07,[$-409]00:45 a07/p07,07/ 7/2011,[$-409]00:45 a07/p07,,,,,
5665 PONCE DE LEON BLVD,,11005163,1,FDA,FD STRUCTURE FIRE,07U,,07/ 7/2011,11/07/07,[$-409]10:00 a07/p07,[$-409]10:00 a07/p07,07/ 7/2011,[$-409]10:05 a07/p07,123,893056.50699999998,501950.05499999999,,
5202 UNIVERSITY DR,,11005190,2,FRD,FRAUD BY CREDIT CARD / ATM,07U,,07/ 8/2011,11/07/08,[$-409]12:30 a07/p07,[$-409]12:30 a07/p07,07/ 7/2011,[$-409]20:55 a07/p07,27,894455.40899999999,504947.43699999998,,
5202 UNIVERSITY DR,,11005190,2,JUA,JUVENILE MISDEMEANOR OFFENDER,07U,,07/ 8/2011,11/07/08,[$-409]12:30 a07/p07,[$-409]12:30 a07/p07,07/ 7/2011,[$-409]20:55 a07/p07,27,894455.40899999999,504947.43699999998,,
5202 UNIVERSITY DR,,11005190,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,07/ 8/2011,11/07/08,[$-409]12:30 a07/p07,[$-409]12:30 a07/p07,07/ 7/2011,[$-409]20:55 a07/p07,27,894455.40899999999,504947.43699999998,,
1241 DICKINSON DR,,11005203,1,ZOE,SUSPICIOUS INCIDENT,07U,,07/ 8/2011,11/07/08,[$-409]18:30 a07/p07,[$-409]18:30 a07/p07,07/ 8/2011,[$-409]18:35 a07/p07,,,,,
1101 STANFORD DR,,11005207,1,SCA,SIMPLE BATTERY,07U,,07/ 8/2011,11/07/08,[$-409]20:00 a07/p07,[$-409]20:00 a07/p07,07/ 8/2011,[$-409]20:05 a07/p07,129,895055.79700000002,504146.53700000001,,
1101 STANFORD DR,,11005207,2,ZOA,TRESPASS WARNING,07U,,07/ 8/2011,11/07/08,[$-409]20:00 a07/p07,[$-409]20:00 a07/p07,07/ 8/2011,[$-409]20:05 a07/p07,129,895055.79700000002,504146.53700000001,,
1211 DICKINSON DR,,11005244,1,TVE,THEFT OF BICYCLE,07U,,07/11/2011,11/07/11,[$-409]00:00 a07/p07,[$-409]00:00 a07/p07,07/ 5/2011,[$-409]14:00 a07/p07,67,893671.82799999998,503718.77100000001,,
5225 PONCE DE LEON BLVD,,11005261,1,VEB,VEHICLE HIT & RUN,07U,,07/12/2011,11/07/12,[$-409]00:00 a07/p07,[$-409]00:00 a07/p07,07/12/2011,[$-409]00:00 a07/p07,372,894718.848,503554.06300000002,,
1500 LEVANTE AV,BLK,11005270,1,VEC,VEHICLE TRAFFIC OFFENSE (NON-DUI),07U,,07/12/2011,11/07/12,[$-409]19:33 a07/p07,[$-409]19:33 a07/p07,07/12/2011,[$-409]19:33 a07/p07,,,,,
5801 SAN AMARO DR,,11005280,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,07/13/2011,11/07/13,[$-409]13:45 a07/p07,[$-409]13:45 a07/p07,07/13/2011,[$-409]14:05 a07/p07,35,893129.473,504239.35800000001,,
5665 PONCE DE LEON BLVD,226,11005284,1,ZOJ,BAKER / MARCHMAN ACT,07U,,07/13/2011,11/07/13,[$-409]15:55 a07/p07,[$-409]15:55 a07/p07,07/13/2011,[$-409]15:59 a07/p07,,,,,
5665 PONCE DE LEON BLVD,226,11005284,2,ZOI,SUICIDE ATTEMPT / THREATS,07U,,07/13/2011,11/07/13,[$-409]15:55 a07/p07,[$-409]15:55 a07/p07,07/13/2011,[$-409]15:59 a07/p07,,,,,
1311 MILLER DR,,11005389,1,TVE,THEFT OF BICYCLE,07U,,07/17/2011,11/07/17,[$-409]10:00 a07/p07,[$-409]10:00 a07/p07,07/15/2011,[$-409]19:30 a07/p07,350,893318.00600000005,504956.85600000003,,
1537 LIGURIA AV,,11005396,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,,07/18/2011,11/07/18,[$-409]00:00 a07/p07,[$-409]00:00 a07/p07,07/18/2011,[$-409]00:00 a07/p07,,,,,
1306 STANFORD DR,,11005398,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,07/18/2011,11/07/18,[$-409]08:30 a07/p07,[$-409]08:30 a07/p07,07/18/2011,[$-409]09:30 a07/p07,887,893997.27899999998,504362.49,,
5615 PAVIA ST,,11005468,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,,07/21/2011,11/07/21,[$-409]00:00 a07/p07,[$-409]00:00 a07/p07,07/21/2011,[$-409]00:00 a07/p07,,,,,
5699 GEORGE E MERRICK ST/PONCE DE LEON BLVD,,11005506,1,VEL,VEHICLE TRAFFIC CRASH,07U,,07/22/2011,11/07/22,[$-409]00:00 a07/p07,[$-409]00:00 a07/p07,07/22/2011,[$-409]00:00 a07/p07,,,,,
1245 DAUER DR,,11005513,1,FDD,FD SICK/INJURED PERSON,07U,,07/22/2011,11/07/22,[$-409]22:40 a07/p07,[$-409]22:40 a07/p07,07/22/2011,[$-409]22:45 a07/p07,,,,,
1300 MEMORIAL DR,,11005553,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,,07/25/2011,11/07/25,[$-409]00:00 a07/p07,[$-409]00:00 a07/p07,07/25/2011,[$-409]00:00 a07/p07,,,,,
1300 MEMORIAL DR,,11005554,1,ZZZ,VOID (RECORDS USE ONLY),07U,,07/25/2011,11/07/25,[$-409]00:00 a07/p07,[$-409]00:00 a07/p07,07/25/2011,[$-409]00:00 a07/p07,,,,,
1300 MEMORIAL DR,,11005555,1,ZZZ,VOID (RECORDS USE ONLY),07U,,07/25/2011,11/07/25,[$-409]00:00 a07/p07,[$-409]00:00 a07/p07,07/25/2011,[$-409]00:00 a07/p07,,,,,
1549 S ALHAMBRA CIR/PONCE DE LEON BLVD,,11005573,1,VEL,VEHICLE TRAFFIC CRASH,07U,,07/25/2011,11/07/25,[$-409]00:00 a07/p07,[$-409]00:00 a07/p07,07/25/2011,[$-409]00:00 a07/p07,,,,,
1239 DICKINSON DR,,11005605,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,07/27/2011,11/07/27,[$-409]07:00 a06/p06,[$-409]07:00 a06/p06,07/26/2011,[$-409]10:00 a07/p07,76,892865.95600000001,503580.26199999999,,
1301 MEMORIAL DR,,11005608,1,PRC,PROPERTY DAMAGED,07U,,07/27/2011,11/07/27,[$-409]09:30 a07/p07,[$-409]09:30 a07/p07,07/27/2011,[$-409]09:34 a07/p07,,,,,
1311 MILLER DR,,11005621,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,07/27/2011,11/07/27,[$-409]16:00 a07/p07,[$-409]16:00 a07/p07,07/27/2011,[$-409]16:00 a07/p07,,,,,
1311 MILLER DR,,11005621,2,ZOE,SUSPICIOUS INCIDENT,07U,,07/27/2011,11/07/27,[$-409]16:00 a07/p07,[$-409]16:00 a07/p07,07/27/2011,[$-409]16:00 a07/p07,,,,,
5200 BRUNSON DR,,11005643,1,ZOE,SUSPICIOUS INCIDENT,07U,,07/28/2011,11/07/28,[$-409]11:20 a07/p07,[$-409]11:20 a07/p07,07/27/2011,[$-409]11:20 a07/p07,25,894657.04599999997,505512.82299999997,,
1241 DICKINSON DR,,11005650,1,VEL,VEHICLE TRAFFIC CRASH,07U,,07/28/2011,11/07/28,[$-409]00:00 a07/p07,[$-409]00:00 a07/p07,07/28/2011,[$-409]00:00 a07/p07,,,,,
1301 STANFORD DR,,11005658,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,07/29/2011,11/07/29,[$-409]08:30 a07/p07,[$-409]08:30 a07/p07,07/29/2011,[$-409]08:30 a07/p07,50,894666.745,504343.22399999999,,
1111 MEMORIAL DR,,11005738,1,FDD,FD SICK/INJURED PERSON,07U,,08/ 1/2011,11/08/01,[$-409]07:55 a07/p07,[$-409]07:55 a07/p07,07/24/2011,[$-409]08:10 a07/p07,649,894115.23400000005,505671.47899999999,,
5665 PONCE DE LEON BLVD,,11005745,1,PRB,PROPERTY LOST,07U,,08/ 1/2011,11/08/01,[$-409]10:00 a08/p08,[$-409]10:00 a08/p08,08/ 1/2011,[$-409]13:57 a08/p08,17,893876.15800000005,505263.125,,
1306 STANFORD DR,,11005764,1,THJ,THEFT BY SHOPLIFTING,07U,,08/ 2/2011,11/08/02,[$-409]10:20 a08/p08,[$-409]10:20 a08/p08,08/ 2/2011,[$-409]10:55 a08/p08,878,893889.96,504561.56300000002,,
1244 STANFORD DR,,11005773,1,VEL,VEHICLE TRAFFIC CRASH,07U,,08/ 2/2011,11/08/02,[$-409]00:00 a08/p08,[$-409]00:00 a08/p08,08/ 2/2011,[$-409]00:00 a08/p08,580,895346.64300000004,503948.90299999999,,
5821 SAN AMARO DR,,11005792,1,FDD,FD SICK/INJURED PERSON,07U,,08/ 3/2011,11/08/03,[$-409]06:31 a08/p08,[$-409]06:31 a08/p08,08/ 3/2011,[$-409]06:41 a08/p08,,,,,
5250 UNIVERSITY DR,,11005800,1,FRL,FRAUD OTHER JURISDICTION,07U,,08/ 3/2011,11/08/03,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,04/14/2011,[$-409]00:00 a04/p04,,,,,
1311 MILLER DR,,11005816,1,PRB,PROPERTY LOST,07U,,08/ 3/2011,11/08/03,[$-409]16:30 a08/p08,[$-409]16:30 a08/p08,08/ 3/2011,[$-409]19:00 a08/p08,12,893271.02899999998,504868.64199999999,,
6200 SAN AMARO DR,102,11005925,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,08/ 8/2011,11/08/08,[$-409]08:00 a08/p08,[$-409]08:00 a08/p08,08/ 8/2011,[$-409]15:50 a08/p08,361,892137.02,501727.46299999999,,
1211 DICKINSON DR,227,11005949,1,ZOD,INCIDENT REPORT,07U,,08/ 9/2011,11/08/09,[$-409]13:30 a08/p08,[$-409]13:30 a08/p08,08/ 9/2011,[$-409]13:30 a08/p08,67,893671.82799999998,503718.77100000001,,
5501 SAN AMARO DR,,11005958,1,TVA,THEFT OF AUTOMOBILE,07U,,08/ 9/2011,11/08/09,[$-409]08:16 a08/p08,[$-409]08:16 a08/p08,08/ 9/2011,[$-409]17:00 a08/p08,,,,,
5513 GEORGE E MERRICK ST,,11005982,1,PRB,PROPERTY LOST,07U,,08/10/2011,11/08/10,[$-409]15:30 a08/p08,[$-409]15:30 a08/p08,08/ 5/2011,[$-409]15:30 a08/p08,52,894509.60100000002,504011.56800000003,,
1300 STANFORD DR,BLK,11005996,1,VEL,VEHICLE TRAFFIC CRASH,07U,,08/11/2011,11/08/11,[$-409]00:00 a08/p08,[$-409]00:00 a08/p08,08/11/2011,[$-409]00:00 a08/p08,,,,,
1300 MILLER DR,BLK,11006004,1,VEL,VEHICLE TRAFFIC CRASH,07U,,08/11/2011,11/08/11,[$-409]00:00 a08/p08,[$-409]00:00 a08/p08,08/11/2011,[$-409]00:00 a08/p08,,,,,
1210 STANFORD DR,,11006005,1,ZOD,INCIDENT REPORT,07U,,08/11/2011,11/08/11,[$-409]12:33 a08/p08,[$-409]12:33 a08/p08,08/11/2011,[$-409]12:33 a08/p08,437,894560.598,504084.95699999999,,
5185 PONCE DE LEON BLVD,,11006036,1,PRB,PROPERTY LOST,07U,,08/12/2011,11/08/12,[$-409]15:00 a07/p07,[$-409]15:00 a07/p07,07/ 5/2011,[$-409]15:00 a07/p07,48,895121.18,504205.408,,
5250 UNIVERSITY DR,,11006077,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,08/14/2011,11/08/14,[$-409]00:00 a08/p08,[$-409]00:00 a08/p08,08/13/2011,[$-409]00:01 a08/p08,30,894450.64800000004,504671.13099999999,,
1560 LIGURIA AV,,11006089,1,TVE,THEFT OF BICYCLE,07U,,08/15/2011,11/08/15,[$-409]18:30 a08/p08,[$-409]18:30 a08/p08,08/15/2011,[$-409]08:30 a08/p08,103,891566.97100000002,501944.41700000002,,
1311 MILLER DR,,11006130,1,THK,THEFT OTHER,07U,,08/16/2011,11/08/16,[$-409]15:00 a08/p08,[$-409]15:00 a08/p08,08/16/2011,[$-409]20:30 a08/p08,14,893381.554,504887.60600000003,,
1585 ALBENGA AV,,11006133,1,ZZZ,VOID (RECORDS USE ONLY),07U,,08/16/2011,11/08/16,[$-409]00:00 a08/p08,[$-409]00:00 a08/p08,08/16/2011,[$-409]00:00 a08/p08,,,,,
1239 DICKINSON DR,WT803,11006134,1,FRG,FRAUD POSSESSION OF COUNTERFEIT,07U,,08/16/2011,11/08/16,[$-409]22:25 a08/p08,[$-409]22:25 a08/p08,08/16/2011,[$-409]22:25 a08/p08,74,892974.25199999998,503706.15500000003,,
1239 DICKINSON DR,WT803,11006134,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,,08/16/2011,11/08/16,[$-409]22:25 a08/p08,[$-409]22:25 a08/p08,08/16/2011,[$-409]22:25 a08/p08,74,892974.25199999998,503706.15500000003,,
1239 DICKINSON DR,WT803,11006134,2,ZOA,TRESPASS WARNING,07U,,08/16/2011,11/08/16,[$-409]22:25 a08/p08,[$-409]22:25 a08/p08,08/16/2011,[$-409]22:25 a08/p08,74,892974.25199999998,503706.15500000003,,
1290 CAMPO SANO AV,123,11006166,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,08/17/2011,11/08/17,[$-409]17:00 a06/p06,[$-409]17:00 a06/p06,08/16/2011,[$-409]11:00 a08/p08,0,893832.13199999998,505986.92200000002,,
5030 BRUNSON DR,,11006168,1,ZOA,TRESPASS WARNING,07U,,08/17/2011,11/08/17,[$-409]15:05 a08/p08,[$-409]15:05 a08/p08,08/17/2011,[$-409]15:05 a08/p08,19,894255.06599999999,505594.31900000002,,
5821 SAN AMARO DR,,11006180,1,VAB,VANDALISM TO VEHICLE,07U,,08/17/2011,11/08/17,[$-409]06:00 a08/p08,[$-409]06:00 a08/p08,08/17/2011,[$-409]11:00 a08/p08,82,892358.66299999994,502658.90399999998,,
